"experiment_id","scenario","run_seed","height_zone","larvae","total_larvae","proportion"
"E3","V3A",8102,"4-6 cm",0,1000,0
"E3","V3A",8102,"6-8 cm",0,1000,0
"E3","V3A",8102,">8 cm",16,1000,0.016
"E3","V3A",8103,"<2 cm",980,1000,0.98
"E3","V3A",8103,"2-4 cm",8,1000,0.008
"E3","V3A",8103,"4-6 cm",0,1000,0
"E3","V3A",8103,"6-8 cm",0,1000,0
"E3","V3A",8103,">8 cm",12,1000,0.012
"E3","V3A",8104,"<2 cm",980,1000,0.98
"E3","V3A",8104,"2-4 cm",4,1000,0.004
"E3","V3A",8104,"4-6 cm",4,1000,0.004
"E3","V3A",8104,"6-8 cm",0,1000,0
"E3","V3A",8104,">8 cm",12,1000,0.012
"E3","V3A",8105,"<2 cm",968,1000,0.968
"E3","V3A",8105,"2-4 cm",8,1000,0.008
"E3","V3A",8105,"4-6 cm",8,1000,0.008
"E3","V3A",8105,"6-8 cm",0,1000,0
"E3","V3A",8105,">8 cm",16,1000,0.016
"E3","V3A",8106,"<2 cm",972,1000,0.972
"E3","V3A",8106,"2-4 cm",8,1000,0.008
"E3","V3A",8106,"4-6 cm",0,1000,0
"E3","V3A",8106,"6-8 cm",0,1000,0
"E3","V3A",8106,">8 cm",20,1000,0.02
"E3","V3A",8107,"<2 cm",972,1000,0.972
"E3","V3A",8107,"2-4 cm",12,1000,0.012
"E3","V3A",8107,"4-6 cm",4,1000,0.004
"E3","V3A",8107,"6-8 cm",0,1000,0
"E3","V3A",8107,">8 cm",12,1000,0.012
"E3","V3A",8108,"<2 cm",976,1000,0.976
"E3","V3A",8108,"2-4 cm",4,1000,0.004
"E3","V3A",8108,"4-6 cm",8,1000,0.008
"E3","V3A",8108,"6-8 cm",0,1000,0
"E3","V3A",8108,">8 cm",12,1000,0.012
"E3","V3A",8109,"<2 cm",980,1000,0.98
"E3","V3A",8109,"2-4 cm",8,1000,0.008
"E3","V3A",8109,"4-6 cm",0,1000,0
"E3","V3A",8109,"6-8 cm",0,1000,0
"E3","V3A",8109,">8 cm",12,1000,0.012
"E3","V3A",8110,"<2 cm",964,1000,0.964
"E3","V3A",8110,"2-4 cm",4,1000,0.004
"E3","V3A",8110,"4-6 cm",12,1000,0.012
"E3","V3A",8110,"6-8 cm",4,1000,0.004
"E3","V3A",8110,">8 cm",16,1000,0.016
"E3","V3A",9101,"<2 cm",2142,2250,0.952
"E3","V3A",9101,"2-4 cm",0,2250,0
"E3","V3A",9101,"4-6 cm",18,2250,0.008
"E3","V3A",9101,"6-8 cm",0,2250,0
"E3","V3A",9101,">8 cm",90,2250,0.04
"E3","V3A",9102,"<2 cm",940,1000,0.94
"E3","V3A",9102,"2-4 cm",4,1000,0.004
"E3","V3A",9102,"4-6 cm",12,1000,0.012
"E3","V3A",9102,"6-8 cm",0,1000,0
"E3","V3A",9102,">8 cm",44,1000,0.044
"E3","V3A",9103,"<2 cm",952,1000,0.952
"E3","V3A",9103,"2-4 cm",4,1000,0.004
"E3","V3A",9103,"4-6 cm",4,1000,0.004
"E3","V3A",9103,"6-8 cm",0,1000,0
"E3","V3A",9103,">8 cm",40,1000,0.04
"E3","V3A",9104,"<2 cm",948,1000,0.948
"E3","V3A",9104,"2-4 cm",0,1000,0
"E3","V3A",9104,"4-6 cm",4,1000,0.004
"E3","V3A",9104,"6-8 cm",0,1000,0
"E3","V3A",9104,">8 cm",48,1000,0.048
"E3","V3A",9105,"<2 cm",960,1000,0.96
"E3","V3A",9105,"2-4 cm",0,1000,0
"E3","V3A",9105,"4-6 cm",4,1000,0.004
"E3","V3A",9105,"6-8 cm",0,1000,0
"E3","V3A",9105,">8 cm",36,1000,0.036
"E3","V3A",9106,"<2 cm",944,1000,0.944
"E3","V3A",9106,"2-4 cm",8,1000,0.008
"E3","V3A",9106,"4-6 cm",0,1000,0
"E3","V3A",9106,"6-8 cm",0,1000,0
"E3","V3A",9106,">8 cm",48,1000,0.048
"E3","V3A",9107,"<2 cm",936,1000,0.936
"E3","V3A",9107,"2-4 cm",4,1000,0.004
"E3","V3A",9107,"4-6 cm",8,1000,0.008
"E3","V3A",9107,"6-8 cm",0,1000,0
"E3","V3A",9107,">8 cm",52,1000,0.052
"E3","V3A",9108,"<2 cm",948,1000,0.948
"E3","V3A",9108,"2-4 cm",8,1000,0.008
"E3","V3A",9108,"4-6 cm",0,1000,0
"E3","V3A",9108,"6-8 cm",0,1000,0
"E3","V3A",9108,">8 cm",44,1000,0.044
"E3","V3A",9109,"<2 cm",944,1000,0.944
"E3","V3A",9109,"2-4 cm",0,1000,0
"E3","V3A",9109,"4-6 cm",8,1000,0.008
"E3","V3A",9109,"6-8 cm",0,1000,0
"E3","V3A",9109,">8 cm",48,1000,0.048
"E3","V3A",9110,"<2 cm",956,1000,0.956
"E3","V3A",9110,"2-4 cm",4,1000,0.004
"E3","V3A",9110,"4-6 cm",4,1000,0.004
"E3","V3A",9110,"6-8 cm",0,1000,0
"E3","V3A",9110,">8 cm",36,1000,0.036
"E3","V3A",10101,"<2 cm",54,2250,0.024
"E3","V3A",10101,"2-4 cm",0,2250,0
"E3","V3A",10101,"4-6 cm",0,2250,0
"E3","V3A",10101,"6-8 cm",0,2250,0
"E3","V3A",10101,">8 cm",2196,2250,0.976
"E3","V3A",10102,"<2 cm",20,1000,0.02
"E3","V3A",10102,"2-4 cm",4,1000,0.004
"E3","V3A",10102,"4-6 cm",0,1000,0
"E3","V3A",10102,"6-8 cm",0,1000,0
"E3","V3A",10102,">8 cm",976,1000,0.976
"E3","V3A",10103,"<2 cm",24,1000,0.024
"E3","V3A",10103,"2-4 cm",0,1000,0
"E3","V3A",10103,"4-6 cm",0,1000,0
"E3","V3A",10103,"6-8 cm",0,1000,0
"E3","V3A",10103,">8 cm",976,1000,0.976
"E3","V3A",10104,"<2 cm",24,1000,0.024
"E3","V3A",10104,"2-4 cm",0,1000,0
"E3","V3A",10104,"4-6 cm",0,1000,0
"E3","V3A",10104,"6-8 cm",0,1000,0
"E3","V3A",10104,">8 cm",976,1000,0.976
"E3","V3A",10105,"<2 cm",20,1000,0.02
"E3","V3A",10105,"2-4 cm",0,1000,0
"E3","V3A",10105,"4-6 cm",4,1000,0.004
"E3","V3A",10105,"6-8 cm",0,1000,0
"E3","V3A",10105,">8 cm",976,1000,0.976
"E3","V3A",10106,"<2 cm",20,1000,0.02
"E3","V3A",10106,"2-4 cm",4,1000,0.004
"E3","V3A",10106,"4-6 cm",0,1000,0
"E3","V3A",10106,"6-8 cm",0,1000,0
"E3","V3A",10106,">8 cm",976,1000,0.976
"E3","V3A",10107,"<2 cm",28,1000,0.028
"E3","V3A",10107,"2-4 cm",0,1000,0
"E3","V3A",10107,"4-6 cm",0,1000,0
"E3","V3A",10107,"6-8 cm",0,1000,0
"E3","V3A",10107,">8 cm",972,1000,0.972
"E3","V3A",10108,"<2 cm",28,1000,0.028
"E3","V3A",10108,"2-4 cm",0,1000,0
"E3","V3A",10108,"4-6 cm",0,1000,0
"E3","V3A",10108,"6-8 cm",0,1000,0
"E3","V3A",10108,">8 cm",972,1000,0.972
"E3","V3A",10109,"<2 cm",24,1000,0.024
"E3","V3A",10109,"2-4 cm",0,1000,0
"E3","V3A",10109,"4-6 cm",0,1000,0
"E3","V3A",10109,"6-8 cm",0,1000,0
"E3","V3A",10109,">8 cm",976,1000,0.976
"E3","V3A",10110,"<2 cm",20,1000,0.02
"E3","V3A",10110,"2-4 cm",4,1000,0.004
"E3","V3A",10110,"4-6 cm",0,1000,0
"E3","V3A",10110,"6-8 cm",0,1000,0
"E3","V3A",10110,">8 cm",976,1000,0.976
"E3","V3A",11101,"<2 cm",774,2250,0.344
"E3","V3A",11101,"2-4 cm",144,2250,0.064
"E3","V3A",11101,"4-6 cm",918,2250,0.408
"E3","V3A",11101,"6-8 cm",225,2250,0.1
"E3","V3A",11101,">8 cm",189,2250,0.084
"E3","V3A",11102,"<2 cm",372,1000,0.372
"E3","V3A",11102,"2-4 cm",72,1000,0.072
"E3","V3A",11102,"4-6 cm",404,1000,0.404
"E3","V3A",11102,"6-8 cm",108,1000,0.108
"E3","V3A",11102,">8 cm",44,1000,0.044
"E3","V3A",11103,"<2 cm",388,1000,0.388
"E3","V3A",11103,"2-4 cm",84,1000,0.084
"E3","V3A",11103,"4-6 cm",344,1000,0.344
"E3","V3A",11103,"6-8 cm",116,1000,0.116
"E3","V3A",11103,">8 cm",68,1000,0.068
"E3","V3A",11104,"<2 cm",384,1000,0.384
"E3","V3A",11104,"2-4 cm",56,1000,0.056
