Generation;AvgFitness;MaxFitness
751;6094,409668;7533,620117
750;6336,176758;7514,828613
749;6448,728516;7514,943359
748;6528,187988;7535,995117
747;6690,199707;7528,770996
746;6548,172363;7515,21582
745;6497,549316;7516,091309
744;5780,359863;7513,961426
743;6318,358398;7516,935547
742;6386,634766;7545,349609
741;6256,662598;7513,852051
740;6306,939453;7515,369629
739;6548,506836;7528,600098
738;6276,267578;7515,651855
737;6135,535645;7517,16748
736;6304,854004;7542,293457
735;6013,144043;7533,25
734;5932,662598;7519,366211
733;6012,350098;7525,01416
732;6548,227051;7518,138672
731;6184,268555;7543,572266
730;6235,023926;7516,164551
729;6335,80957;7514,661621
728;6042,203125;7520,281738
727;6306,205566;7519,225098
726;6133,974121;7514,935547
725;5809,177734;7523,018066
724;6203,958496;7516,480957
723;6043,976562;7518,564453
722;6214,898926;7514,639648
721;5991,401855;7519,804199
720;5930,208496;7515,197266
719;6142,181152;7513,93457
718;6265,509277;7520,396484
717;6051,469727;7517,858398
716;5677,013672;7523,671875
715;6295,678223;7514,203613
714;6194,796875;7516,909668
713;5748,659668;7530,940918
712;6092,112793;7537,265625
711;6152,305664;7520,035156
710;6171,879395;7517,431152
709;6132,830078;7521,275879
708;6061,033691;7522,530273
707;5646,570312;7549,553223
706;6123,069824;7580,157227
705;5909,51709;7519,805664
704;5484,127441;7521,315918
703;5666,443359;7538,974121
702;5627,87207;7557,913086
701;6113,121582;7540,014648
700;6021,286133;7518,378418
699;5603,895508;7523,055176
698;5627,110352;7528,629883
